Mouse gene name	Gene name	Gene stable ID
	MT-TF	ENSG00000210049
	MT-RNR1	ENSG00000211459
	MT-TV	ENSG00000210077
	MT-RNR2	ENSG00000210082
	MT-TL1	ENSG00000209082
mt-Nd1	MT-ND1	ENSG00000198888
	MT-TI	ENSG00000210100
	MT-TQ	ENSG00000210107
	MT-TM	ENSG00000210112
mt-Nd2	MT-ND2	ENSG00000198763
	MT-TW	ENSG00000210117
	MT-TA	ENSG00000210127
	MT-TN	ENSG00000210135
	MT-TC	ENSG00000210140
	MT-TY	ENSG00000210144
mt-Co1	MT-CO1	ENSG00000198804
	MT-TS1	ENSG00000210151
	MT-TD	ENSG00000210154
mt-Co2	MT-CO2	ENSG00000198712
	MT-TK	ENSG00000210156
mt-Atp8	MT-ATP8	ENSG00000228253
mt-Atp6	MT-ATP6	ENSG00000198899
mt-Co3	MT-CO3	ENSG00000198938
	MT-TG	ENSG00000210164
mt-Nd3	MT-ND3	ENSG00000198840
	MT-TR	ENSG00000210174
mt-Nd4l	MT-ND4L	ENSG00000212907
mt-Nd4	MT-ND4	ENSG00000198886
	MT-TH	ENSG00000210176
	MT-TS2	ENSG00000210184
	MT-TL2	ENSG00000210191
mt-Nd5	MT-ND5	ENSG00000198786
mt-Nd6	MT-ND6	ENSG00000198695
	MT-TE	ENSG00000210194
mt-Cytb	MT-CYB	ENSG00000198727
	MT-TT	ENSG00000210195
	MT-TP	ENSG00000210196
		ENSG00000299200
		ENSG00000308964
	5S_rRNA	ENSG00000278457
		ENSG00000271254
		ENSG00000278704
Gm22279	U6	ENSG00000278625
Gm54642	U6	ENSG00000278625
		ENSG00000309338
		ENSG00000295063
		ENSG00000309357
		ENSG00000309229
		ENSG00000310277
		ENSG00000304745
		ENSG00000276197
		ENSG00000297844
		ENSG00000309258
		ENSG00000278573
		ENSG00000303173
Gm54867	5_8S_rRNA	ENSG00000278294
Gm55073	5_8S_rRNA	ENSG00000278294
	RNA5-8SN5	ENSG00000274917
		ENSG00000294644
		ENSG00000296902
		ENSG00000307034
	5_8S_rRNA	ENSG00000273730
		ENSG00000273937
		ENSG00000297619
Prodh		ENSG00000277196
		ENSG00000308580
		ENSG00000296546
		ENSG00000300051
		ENSG00000296713
		ENSG00000305511
		ENSG00000305525
		ENSG00000306721
		ENSG00000277630
		ENSG00000300074
		ENSG00000303867
		ENSG00000300093
		ENSG00000300846
		ENSG00000307470
		ENSG00000303750
		ENSG00000301573
Dgcr6		ENSG00000278817
		ENSG00000276017
		ENSG00000302039
		ENSG00000301587
		ENSG00000297072
	U6	ENSG00000278793
		ENSG00000298861
		ENSG00000301131
		ENSG00000303733
		ENSG00000305236
		ENSG00000308643
		ENSG00000309233
	Y_RNA	ENSG00000277428
		ENSG00000276256
		ENSG00000295668
		ENSG00000303853
		ENSG00000303221
		ENSG00000307061
		ENSG00000278384
		ENSG00000307722
		ENSG00000310401
		ENSG00000309831
		ENSG00000301761
		ENSG00000306744
		ENSG00000306767
	U1	ENSG00000275987
		ENSG00000308844
		ENSG00000268674
		ENSG00000277475
	U1	ENSG00000275405
		ENSG00000275063
		ENSG00000298139
		ENSG00000277856
		ENSG00000277400
		ENSG00000295160
		ENSG00000298751
Tekt4	MAFIP	ENSG00000274847
Gm23788	U2	ENSG00000276711
		ENSG00000298769
		ENSG00000302961
		ENSG00000296348
		ENSG00000296732
		ENSG00000301091
		ENSG00000298772
		ENSG00000307824
		ENSG00000303154
		ENSG00000303902
		ENSG00000307077
		ENSG00000304792
		ENSG00000304816
		ENSG00000298153
		ENSG00000303875
		ENSG00000275661
		ENSG00000303892
Gm56421		ENSG00000276351
Mrpl23		ENSG00000276345
		ENSG00000310347
		ENSG00000303912
Gm56420		ENSG00000273532
		ENSG00000293919
		ENSG00000294171
		ENSG00000298169
		ENSG00000306528
		ENSG00000308185
		ENSG00000298181
		ENSG00000304845
		ENSG00000276312
	RNA5-8SN4	ENSG00000276700
	5_8S_rRNA	ENSG00000275757
		ENSG00000298793
		ENSG00000273739
		ENSG00000298142
		ENSG00000301406
		ENSG00000307206
		ENSG00000306938
		ENSG00000274175
		ENSG00000310376
		ENSG00000297972
Slc6a8		ENSG00000273554
		ENSG00000310392
Gm25115	U1	ENSG00000277374
		ENSG00000300519
		ENSG00000303573
		ENSG00000297432
		ENSG00000306402
Frg1		ENSG00000273748
		ENSG00000296581
		ENSG00000297449
		ENSG00000304422
		ENSG00000299314
		ENSG00000275869
		ENSG00000294191
		ENSG00000278510
		ENSG00000273843
		ENSG00000277836
		ENSG00000294926
		ENSG00000296598
		ENSG00000295260
		ENSG00000296618
		ENSG00000309296
		ENSG00000295285
		ENSG00000299852
		ENSG00000295455
		ENSG00000293939
		ENSG00000295648
		ENSG00000296644
		ENSG00000293969
		ENSG00000299870
		ENSG00000296756
	Y_RNA	ENSG00000276932
		ENSG00000302801
		ENSG00000307088
		ENSG00000296798
		ENSG00000296634
		ENSG00000299885
		ENSG00000297394
		ENSG00000297936
		ENSG00000298469
		ENSG00000278633
		ENSG00000278066
		ENSG00000295378
		ENSG00000306901
		ENSG00000309793
		ENSG00000300662
		ENSG00000301410
		ENSG00000303548
		ENSG00000296775
		ENSG00000303746
		ENSG00000297558
		ENSG00000298095
Gm23788	U2	ENSG00000274202
		ENSG00000303588
		ENSG00000304032
		ENSG00000308966
		ENSG00000304964
		ENSG00000309079
		ENSG00000305027
		ENSG00000305713
		ENSG00000306124
		ENSG00000307249
		ENSG00000308567
		ENSG00000309335
		ENSG00000301787
		ENSG00000310156
		ENSG00000300815
		ENSG00000304057
		ENSG00000293753
		ENSG00000299010
		ENSG00000307122
		ENSG00000307143
		ENSG00000307166
		ENSG00000280864
	RNU1-62P	ENSG00000281822
	MTCO3P47	ENSG00000280505
	RNA5SP136	ENSG00000280775
	RYBP	ENSG00000281766
	GCGR	ENSG00000288269
	RPL23AP45	ENSG00000291360
	MCRIP1	ENSG00000288213
	Y_RNA	ENSG00000291371
	RNU6-409P	ENSG00000291372
	ACR	ENSG00000291368
		ENSG00000306474
		ENSG00000291361
		ENSG00000291369
	C8orf33	ENSG00000291362
	SNRPA1P2	ENSG00000291370
	LINC01784	ENSG00000282162
	SHANK3	ENSG00000292254
	PRAMEF11	ENSG00000281934
	PRAMEF30P	ENSG00000282116
	HNRNPCL1	ENSG00000282175
	PRAMEF2	ENSG00000282817
	PRAMEF4	ENSG00000282584
	PRAMEF10	ENSG00000282663
	PRAMEF7	ENSG00000279195
		ENSG00000306526
	RNU6-1072P	ENSG00000282338
	PRAMEF29P	ENSG00000282549
	PRAMEF6	ENSG00000282119
	PPP1R27	ENSG00000288186
	PRAMEF28P	ENSG00000282791
	PRAMEF27	ENSG00000282437
	HNRNPCL3	ENSG00000282559
	PRAMEF25	ENSG00000282566
	PRAMEF34P	ENSG00000282258
	PRAMEF35P	ENSG00000282562
	LINC02688	ENSG00000291364
	HNRNPCL2	ENSG00000282530
	MUC5AC	ENSG00000291363
	PRAMEF36P	ENSG00000282468
		ENSG00000290624
	MUC2	ENSG00000293532
		ENSG00000282341
	PRAMEF26	ENSG00000281987
	HNRNPCL4	ENSG00000282095
	PRAMEF9	ENSG00000282298
	PRAMEF13	ENSG00000282741
	PRAMEF18	ENSG00000282212
	PRAMEF31P	ENSG00000282289
	PRAMEF5	ENSG00000282424
	PRAMEF32P	ENSG00000282216
	RNU6-771P	ENSG00000282288
	PRAMEF8	ENSG00000282583
	PRAMEF33	ENSG00000282125
	PRAMEF22	ENSG00000293551
	CNTNAP3C	ENSG00000291365
	RN7SL462P	ENSG00000291366
		ENSG00000290500
	OR9G1	ENSG00000261958
	OR9G9	ENSG00000262191
		ENSG00000281683
	OR9G3P	ENSG00000262268
	OR9G4	ENSG00000262647
	OR9G2P	ENSG00000281777
